timestamp,temperature
2026-07-08 14:28:22.221492,22.5
2026-07-08 14:28:23.222926,22.5
2026-07-08 14:28:24.228301,22.5
2026-07-08 14:28:25.233566,22.5
2026-07-08 14:28:26.236274,22.5
2026-07-08 14:28:27.238900,22.5
2026-07-08 14:28:28.244397,22.5
2026-07-08 14:28:29.250279,22.5
2026-07-08 14:28:30.251558,22.5
2026-07-08 14:28:31.256947,22.5
2026-07-08 14:28:32.262536,22.5
2026-07-08 14:28:33.268247,22.5
2026-07-08 14:28:34.272731,22.5
2026-07-08 14:28:35.278246,22.5
2026-07-08 14:28:36.283820,22.5
2026-07-08 14:28:37.289538,22.5
2026-07-08 14:28:38.294826,22.5
2026-07-08 14:28:39.300095,22.5
2026-07-08 14:28:40.302516,22.5
2026-07-08 14:28:41.305769,22.5
2026-07-08 14:28:42.306619,22.5
2026-07-08 14:28:43.309141,22.5
2026-07-08 14:28:44.311865,22.5
2026-07-08 14:28:45.317497,22.5
2026-07-08 14:28:46.322921,22.5
2026-07-08 14:28:47.328209,22.5
2026-07-08 14:28:48.333766,22.5
2026-07-08 14:28:49.337903,22.5
2026-07-08 14:28:50.343383,22.5
2026-07-08 14:28:51.346094,22.5
2026-07-08 14:28:52.349254,22.5
2026-07-08 14:28:53.354711,22.5
2026-07-08 14:28:54.358484,22.5
2026-07-08 14:28:55.363643,22.5
2026-07-08 14:28:56.369063,22.5
2026-07-08 14:28:57.374476,22.5
2026-07-08 14:28:58.379938,22.5
2026-07-08 14:28:59.385134,22.5
2026-07-08 14:29:00.390400,22.5
2026-07-08 14:29:01.395012,22.5
2026-07-08 14:29:02.398604,22.5
2026-07-08 14:29:03.404037,22.5
